price_sensitivity,brand_preference,quality_preference,income_level,strategy,score,reason
medium,high,medium,low,折扣促銷,5.0,促銷與功能有吸引力但我收入偏低、價格仍是主要顧慮，屬於邊界且需再考慮。
high,high,medium,low,折扣促銷,4.0,我收入低且對價格很敏感，雖然七折和品牌誘人，但這項非必要開支會增加經濟負擔，所以我較傾向不買。
low,medium,low,high,折扣促銷,8.0,我收入較高且價格敏感度低，限時七折促銷與便利的健康功能增加吸引力，因而較有購買意願。
medium,high,high,medium,折扣促銷,7.0,我偏好品牌與高品質，看到30%折扣會提高購買意願，但中等收入與中等價格敏感度會讓我再評估是否值得，故給7分。
medium,low,medium,high,折扣促銷,7.0,我收入較高且不太在意品牌，30%折扣加上能精準記錄飲水量的智能功能提升健康價值，讓我傾向購買。
high,medium,high,high,折扣促銷,6.0,我收入高但很注重價格與品質，30%折扣加上若品牌/評價可信且功能真實，我會稍微傾向購買。
low,low,high,medium,折扣促銷,7.0,廣告提供7折且強調健康與精準記錄，符合我對高品質產品的偏好且我對價格敏感度低、收入為中等，因此較傾向購買但仍會想看實際評價與耐用性再決定。
medium,high,low,low,折扣促銷,6.0,雖然我收入不高且對價格有些在意，但30%限時折扣加上我偏好品牌，使我有點想買，屬於偏向購買但不確定的程度。
high,high,high,high,折扣促銷,8.0,我重視品牌與品質，30%折扣有效降低價格顧慮，讓我較傾向購買，但會先確認品牌與功能真實性。
low,high,high,high,折扣促銷,8.0,我收入高且重視品牌與品質，這款水瓶功能實用且現在七折優惠划算，所以我較可能入手。
medium,high,medium,low,高端品牌,4.0,我收入偏低且對價格敏感，除非有明顯折扣或價格合理，否則不太會買這類較高端的智能水瓶。
high,high,medium,low,高端品牌,3.0,收入低且對價格敏感，雖然品牌與健康功能有吸引力，但預計價格會超出預算所以不太會買。
low,medium,low,high,高端品牌,8.0,我收入高且對價格不敏感，加上廣告主打健康與極簡設計，符合我的需求，因此較傾向購買。
medium,high,high,medium,高端品牌,6.0,品牌與品質導向符合我的偏好，但身為中等收入且對價格有些敏感，若價格合理我會購買。
medium,low,medium,high,高端品牌,7.0,廣告凸顯健康監測與精準科技，對我這種高收入且不太在意品牌但重視功能與設計的人有吸引力，但價格敏感度中讓我不會給出更高分。
high,medium,high,high,高端品牌,7.0,我偏好高品質且有能力購買，但價格敏感，若售價合理且技術與評價可靠，我較有意願購買。
low,low,high,medium,高端品牌,8.0,我收入中等且偏好高品質，廣告主打的精準科技與全天守護切合我重視的健康與品質需求，使我傾向購買（但會先確認實際效能）。
medium,high,low,low,高端品牌,6.0,我偏好品牌且廣告強調健康，但我的收入偏低，價格會讓我猶豫。
high,high,high,high,高端品牌,8.0,廣告強調高品質與品牌形象，符合我的高品質與品牌偏好，雖然價格敏感讓我有些猶豫，但高收入使我願意為優質產品付費。
low,high,high,high,高端品牌,8.0,廣告突顯高品質與健康守護，加上我偏好品牌且對價格不敏感，使我較有購買意願。
medium,high,medium,low,社群推薦,4.0,我收入較低且這類提醒喝水的智能水瓶屬非必需品，除非是熟悉品牌且價格合理，否則我較不願意購買。
high,high,medium,low,社群推薦,3.0,雖然廣告和網紅推薦讓我有購買衝動，但我收入低且對價格很敏感，除非價格很優惠，否則不會買。
low,medium,low,high,社群推薦,7.0,我收入高且不太在意價格，廣告訴求（習慣養成與提升日常活力）對我有吸引力，因此較傾向購買。
medium,high,high,medium,社群推薦,7.0,廣告強調的好評與養成習慣符合我對品牌與品質的偏好，吸引我但中等收入與價格敏感度會讓我在價格與實際需要上再三考量。
medium,low,medium,high,社群推薦,7.0,我收入較高且願為便利與健康投入，若智能水瓶功能可靠且價格合理，這類產品值得一試。
high,medium,high,high,社群推薦,5.0,廣告說法吸引但證據不足；我有能力買但對價格敏感，若無明確品質保證或良好評價會選擇觀望。
low,low,high,medium,社群推薦,8.0,我重視品質且對價格不敏感，若這款真的能提神並幫我養成喝水習慣，我會願意購買。
medium,high,low,low,社群推薦,6.0,廠牌吸引我，但因為收入低且對價格有顧慮，只有在促銷或價格合理時才會購買。
high,high,high,high,社群推薦,6.0,我收入高但價格敏感，會為了知名品牌與品質付費並傾向試買智慧水瓶，但對廣告誇大效果保持保留，需更多實證才會完全下定決心。
low,high,high,high,社群推薦,7.0,我收入高且重視品牌與品質，廣告正面口碑吸引我，但缺乏具體證據與評測，若是知名大品牌或有良好實評我會下單。
medium,high,medium,low,訊息轟炸,4.0,我收入偏低且折扣/實際價格與品牌不夠清楚，雖然廣告強調設計與科技，但這些不足以說服我現在購買。
high,high,medium,low,訊息轟炸,4.0,我收入低且對價格非常敏感，雖然品牌看起來不錯但預算限制讓我偏向不買。
low,medium,low,high,訊息轟炸,8.0,我收入高且對價格不敏感，廣告的設計與限時促銷讓我有較強購買意願。
medium,high,high,medium,訊息轟炸,7.0,我偏好高品質與品牌，廣告強調設計與精準技術且有好評與限時7折，對我有吸引力但中等收入與價格敏感讓我保持謹慎。
medium,low,medium,high,訊息轟炸,6.0,廣告吸引且符合我高收入且不太在意品牌的偏好，但規格與售後資訊不足，需更多細節才會完全下決定。
high,medium,high,high,訊息轟炸,7.0,雖然我對價格敏感，但作為重視高品質且收入高的人，7折優惠加上廣告所強調的高端設計、精準技術與多數好評使我較傾向購買。
low,low,high,medium,訊息轟炸,7.0,我重視品質且對價格不太敏感，加上30%限時折扣使我傾向購買，但會想再確認使用者評價與保固。
medium,high,low,low,訊息轟炸,4.0,我收入較低、這是非必需商品，雖然有7折和品牌吸引，但還是比較不會花錢買。
high,high,high,high,訊息轟炸,7.0,我收入高且偏好高品質與品牌，但價格敏感；若品牌可信且功能真實，30% 折扣會讓我傾向購買。
low,high,high,high,訊息轟炸,8.0,廣告符合我對高品質與品牌的偏好，加上限時折扣具吸引力，因此我較傾向購買。
