price_sensitivity,brand_preference,quality_preference,income_level,strategy,是否購買,score,reason
high,medium,low,medium,折扣促銷,是,7,廣告提供七折且強調省錢與方便，對我這種高度在意價格、收入中等且不太看重品質的人來說吸引力大，較有購買意願。
medium,high,high,high,折扣促銷,是,8,我偏好品牌與高品質，加上限時七折與能記錄飲水量的實用功能，使我較傾向購買。
low,high,high,low,折扣促銷,是,6,雖然我收入偏低，但我重視品牌與品質，七折促銷讓這款智能水瓶看起來比較划算，因此我傾向於購買。
high,high,high,high,折扣促銷,是,6,我收入高但對價格敏感，七折促銷搭配宣稱能精準記錄飲水量與提升健康，若品牌與品質可信我較可能購買。
medium,low,medium,medium,折扣促銷,是,6,有七折促銷且功能實用，但屬非必要消費，且我收入與價格敏感度為中等，會看評價與實際價格再決定。
low,high,medium,medium,折扣促銷,是,7,廣告有30％折扣且功能實用，加上我對品牌有偏好且價格敏感度低、中等收入可負擔，所以較傾向購買。
low,medium,low,medium,折扣促銷,是,7,30%折扣加上能精準紀錄喝水量，對中等收入且不太在意價格的我來說現在入手划算。
medium,high,medium,high,折扣促銷,是,7,我收入較高且偏好品牌，30%折扣加上實用的紀錄飲水功能讓價格變得合理，因此我傾向購買。
medium,medium,medium,high,折扣促銷,是,7,因為我收入較高且七折折扣與實用功能使價格不是主要障礙，整體較傾向購買。
low,low,medium,high,折扣促銷,是,8,我收入較高且不太在意價格，折扣與方便的健康追蹤功能讓我傾向購買。
high,medium,high,low,折扣促銷,否,4,雖然七折且能幫助記錄喝水量對健康有益，但我收入有限且對價格很敏感，現在仍較難負擔。
medium,high,low,low,折扣促銷,是,6,我收入偏低但偏好品牌，30%折扣和限時優惠讓我有些購買意願；若折後價仍超出預算會放棄。
low,low,low,medium,折扣促銷,是,7,30%折扣加上我對價格不敏感且收入能負擔，讓我願意嘗試提升飲水紀錄與健康。
medium,low,low,high,折扣促銷,是,8,有30%折扣且功能實用，加上我收入較高且價格敏感度中等，讓我較有意願購買。
high,low,medium,low,折扣促銷,是,6,我收入不高但對價格敏感，七折加上實用的記錄功能讓我稍微願意出手。
medium,medium,low,low,折扣促銷,否,5,七折有吸引力但我收入偏低且價格敏感，較可能觀望。
high,medium,medium,low,折扣促銷,否,3,雖然有七折，但我收入低且很在意價格，這類非必要的智慧水瓶目前負擔太高、會先不買。
low,medium,high,high,折扣促銷,是,8,我收入高且不太在意價格、重視品質，限時七折加上智慧記錄飲水量的功能對我有吸引力，但品牌與口碑資訊不足讓我保留部分疑慮。
low,medium,medium,high,折扣促銷,是,8,我收入較高又不太在意價格，加上七折促銷看起來划算且有助健康，所以偏向購買。
high,low,high,high,折扣促銷,是,7,三折價格與記錄飲水量的實用功能符合我重視品質又愛划算的偏好，使我較傾向購買，但會先查驗產品評價與做工以確認可靠度。
medium,high,medium,low,折扣促銷,5.0,促銷與功能有吸引力但我收入偏低、價格仍是主要顧慮，屬於邊界且需再考慮。
high,high,medium,low,折扣促銷,4.0,我收入低且對價格很敏感，雖然七折和品牌誘人，但這項非必要開支會增加經濟負擔，所以我較傾向不買。
low,medium,low,high,折扣促銷,8.0,我收入較高且價格敏感度低，限時七折促銷與便利的健康功能增加吸引力，因而較有購買意願。
medium,high,high,medium,折扣促銷,7.0,我偏好品牌與高品質，看到30%折扣會提高購買意願，但中等收入與中等價格敏感度會讓我再評估是否值得，故給7分。
medium,low,medium,high,折扣促銷,7.0,我收入較高且不太在意品牌，30%折扣加上能精準記錄飲水量的智能功能提升健康價值，讓我傾向購買。
high,medium,high,high,折扣促銷,6.0,我收入高但很注重價格與品質，30%折扣加上若品牌/評價可信且功能真實，我會稍微傾向購買。
low,low,high,medium,折扣促銷,7.0,廣告提供7折且強調健康與精準記錄，符合我對高品質產品的偏好且我對價格敏感度低、收入為中等，因此較傾向購買但仍會想看實際評價與耐用性再決定。
medium,high,low,low,折扣促銷,6.0,雖然我收入不高且對價格有些在意，但30%限時折扣加上我偏好品牌，使我有點想買，屬於偏向購買但不確定的程度。
high,high,high,high,折扣促銷,8.0,我重視品牌與品質，30%折扣有效降低價格顧慮，讓我較傾向購買，但會先確認品牌與功能真實性。
low,high,high,high,折扣促銷,8.0,我收入高且重視品牌與品質，這款水瓶功能實用且現在七折優惠划算，所以我較可能入手。
high,medium,low,medium,高端品牌,否,4,價格敏感且不追求高品質，若價格偏高或功能普通就不願購買。
medium,high,high,high,高端品牌,是,8,我收入高且重視品牌與品質，廣告強調的精準科技與全天健康守護契合我的偏好，因此較有意願購買。
low,high,high,low,高端品牌,是,6,我偏好品牌與高品質且不太在意價格，但低收入讓我在實際消費時仍會較謹慎。
high,high,high,high,高端品牌,是,7,廣告主打的高品質與健康守護符合我的偏好與購買能力，但未說明品牌與價格，而我對價格敏感，因此僅偏向購買。
medium,low,medium,medium,高端品牌,是,6,廣告強調的精準健康監測與簡約設計符合我中等收入且重視品質的偏好，只要價格合理我會稍微傾向購買。
low,high,medium,medium,高端品牌,是,8,我中等收入但價格敏感度低且偏好品牌，廣告突顯健康與精準功能具有吸引力，較可能購買。
low,medium,low,medium,高端品牌,是,6,廣告強調品質與全天候守護健康，對我這種重視健康的中等收入消費者有吸引力，但缺乏價格與具體功能資訊，讓我有所保留。
medium,high,medium,high,高端品牌,是,7,我收入較高且偏好知名品牌，看到極簡設計與健康訴求會傾向購買（若價格合理）。
medium,medium,medium,high,高端品牌,是,7,我收入較高且重視健康與設計，廣告強調全天守護與精準科技，使我偏向購買。
low,low,medium,high,高端品牌,是,8,我收入較高且對價格不敏感，廣告強調的健康監測與極簡設計符合我的偏好，若功能與宣稱相符我會購買。
high,medium,high,low,高端品牌,否,4,雖然廣告強調高品質與健康守護，但我收入低且對價格敏感，除非價格合理或有折扣，否則偏向不買。
medium,high,low,low,高端品牌,否,3,我收入偏低，且廣告未提品牌或折扣，因此購買意願低。
low,low,low,medium,高端品牌,是,6,我收入中等且對價格不太敏感，廣告強調健康與精準科技讓我略微傾向購買，但我對品牌與品質要求不高，所以只是輕度傾向。
medium,low,low,high,高端品牌,是,6,收入較高且全天候健康監測功能有吸引力，但對品牌與品質偏好不高，整體僅略偏向購買。
high,low,medium,low,高端品牌,否,3,我收入偏低且對價格敏感，雖然功能看起來不錯但不太可能為此花錢。
medium,medium,low,low,高端品牌,否,4,我收入有限且偏向省錢，雖然廣告功能誘人但可能太貴，而且我對高品質要求不高，所以不太會購買。
high,medium,medium,low,高端品牌,否,4,廣告訴求不錯，但我收入偏低又價格敏感，不會為非必要的高價智能水瓶花錢。
low,medium,high,high,高端品牌,是,8,因為我重視高品質且預算寬裕，這款結合精準科技與極簡設計的智能水瓶很符合我的需求。
